"drug","gene"
"DB00810","CHRM3"
"DB00383","CHRM3"
"DB00458","CHRM3"
"DB08897","CHRM3"
"DB00715","CHRM3"
"DB00747","CHRM3"
"DB01338","CHRM3"
"DB00462","CHRM3"
"DB01100","CHRM3"
"DB00809","CHRM3"
"DB00835","CHRM3"
"DB00477","CHRM3"
"DB04365","CHRM3"
"DB01591","CHRM3"
"DB01085","CHRM3"
"DB01403","CHRM3"
"DB00387","CHRM3"
"DB00934","CHRM3"
"DB00986","CHRM3"
"DB00670","CHRM3"
"DB00933","CHRM3"
"DB03128","CHRM3"
"DB09000","CHRM3"
"DB00119","PKLR"
"DB02726","PKLR"
"DB04551","PKLR"
"DB04898","F2"
"DB07131","F2"
"DB07190","F2"
"DB03046","F2"
"DB07946","F2"
"DB07809","F2"
"DB06996","F2"
"DB07005","F2"
"DB07548","F2"
"DB04772","F2"
"DB01766","F2"
"DB04786","F2"
"DB07741","F2"
"DB07508","F2"
"DB08422","F2"
"DB07974","F2"
"DB07211","F2"
"DB02112","F2"
"DB07027","F2"
"DB07277","F2"
"DB07400","F2"
"DB02351","F2"
"DB07133","F2"
"DB06838","F2"
"DB07461","F2"
"DB08546","F2"
"DB02354","F2"
"DB04107","F2"
"DB07522","F2"
"DB06865","F2"
"DB07278","F2"
"DB07897","F2"
"DB07091","F2"
"DB07095","F2"
"DB07440","F2"
"DB06859","F2"
"DB00100","F2"
"DB01977","F2"
"DB06853","F2"
"DB06947","F2"
"DB04722","F2"
"DB07796","F2"
"DB07016","F2"
"DB07549","F2"
"DB02193","F2"
"DB03808","F2"
"DB07366","F2"
"DB06841","F2"
"DB03847","F2"
"DB03159","F2"
"DB04136","F2"
"DB03865","F2"
"DB07128","F2"
"DB02473","F2"
"DB07229","F2"
"DB08624","F2"
"DB04771","F2"
"DB04563","F2"
"DB07083","F2"
"DB07944","F2"
"DB03136","F2"
"DB07376","F2"
"DB07353","F2"
"DB03082","F2"
"DB06850","F2"
"DB04590","F2"
"DB04591","F2"
"DB06854","F2"
"DB06942","F2"
"DB07527","F2"
"DB06861","F2"
"DB07143","F2"
"DB02018","F2"
"DB06695","F2"
"DB01197","F2"
"DB07660","F2"
"DB00055","F2"
"DB06856","F2"
"DB02463","F2"
"DB07718","F2"
"DB04424","F2"
"DB07665","F2"
"DB01123","F2"
"DB07076","F2"
"DB08873","F2"
"DB07934","F2"
"DB04059","F2"
"DB07088","F2"
"DB02723","F2"
"DB07120","F2"
"DB08254","F2"
"DB04215","F2"
"DB08062","F2"
"DB07105","F2"
"DB06936","F2"
"DB04697","F2"
"DB07165","F2"
"DB03173","F2"
"DB07279","F2"
"DB08174","F2"
"DB06869","F2"
"DB02287","F2"
"DB07515","F2"
"DB07550","F2"
"DB06845","F2"
"DB06929","F2"
"DB06858","F2"
"DB08061","F2"
"DB01767","F2"
"DB07521","F2"
"DB06911","F2"
"DB07658","F2"
"DB06878","F2"
"DB00170","F2"
"DB08187","F2"
"DB06919","F2"
"DB07629","F2"
"DB02744","F2"
"DB00278","F2"
"DB00001","F2"
"DB07659","F2"
"DB07639","F2"
"DB00006","F2"
"DB06866","F2"
"DB06868","F2"
"DB08152","F2"
"DB00895","FCER1G"
"DB02239","ALAD"
"DB01942","ALAD"
"DB02272","ALAD"
"DB02828","ALAD"
"DB02068","ALAD"
"DB04530","ALAD"
"DB02878","ALAD"
"DB04560","ALAD"
"DB00855","ALAD"
"DB02260","ALAD"
"DB04781","ALAD"
"DB01108","HSD3B1"
"DB00157","HSD3B1"
"DB01536","HSD3B1"
"DB00431","GLRB"
"DB00145","GLRB"
"DB00157","HSD3B2"
"DB01108","HSD3B2"
"DB01275","P4HA1"
"DB00126","P4HA1"
"DB00172","P4HA1"
"DB00139","P4HA1"
"DB01083","CNR1"
"DB00382","CNR1"
"DB00470","CNR1"
"DB06155","CNR1"
"DB00486","CNR1"
"DB00275","AGTR1"
"DB00876","AGTR1"
"DB01347","AGTR1"
"DB00966","AGTR1"
"DB00796","AGTR1"
"DB00177","AGTR1"
"DB01342","AGTR1"
"DB01029","AGTR1"
"DB01349","AGTR1"
"DB00678","AGTR1"
"DB00133","SARS1"
"DB01088","PTGER1"
"DB00905","PTGER1"
"DB01160","PTGER1"
"DB00917","PTGER1"
"DB00429","PTGER1"
"DB00297","PTGER1"
"DB00770","PTGER1"
"DB00157","DLAT"
"DB03758","DLAT"
"DB03760","DLAT"
"DB00078","MS4A1"
"DB00073","MS4A1"
"DB00081","MS4A1"
"DB02727","NOS1"
"DB02335","NOS1"
"DB00155","NOS1"
"DB04018","NOS1"
"DB02692","NOS1"
"DB03144","NOS1"
"DB01997","NOS1"
"DB02027","NOS1"
"DB01821","NOS1"
"DB02077","NOS1"
"DB03710","NOS1"
"DB02141","NOS1"
"DB03892","NOS1"
"DB03910","NOS1"
"DB02644","NOS1"
"DB08018","NOS1"
"DB02143","NOS1"
"DB02539","NOS1"
"DB07002","NOS1"
"DB07389","NOS1"
"DB07003","NOS1"
"DB07405","NOS1"
"DB03461","NOS1"
"DB03707","NOS1"
"DB04223","NOS1"
"DB08019","NOS1"
"DB03147","NOS1"
"DB02044","NOS1"
"DB02944","NOS1"
"DB02991","NOS1"
"DB08750","NOS1"
"DB03014","NOS1"
"DB01942","NOS1"
"DB03247","NOS1"
"DB03449","NOS1"
"DB00157","LDHB"
"DB01907","LDHB"
"DB03162","LDHB"
"DB02401","LDHB"
"DB03940","LDHB"
"DB00795","ACAT1"
"DB01393","PPARA"
"DB01241","PPARA"
"DB07215","PPARA"
"DB07724","PPARA"
"DB04270","PPARA"
"DB07842","PPARA"
"DB08483","PPARA"
"DB01039","PPARA"
"DB08121","PPARA"
"DB07675","PPARA"
"DB07070","PPARA"
"DB07053","PPARA"
"DB05416","PPARA"
"DB01890","PPARA"
"DB00636","PPARA"
"DB08760","PPARA"
"DB08915","PPARA"
"DB00412","PPARA"
"DB08078","PPARA"
"DB00121","MCCC2"
"DB00142","AASS"
"DB02338","AASS"
"DB04207","AASS"
"DB00157","AASS"
"DB00755","NR0B1"
"DB01234","NR0B1"
"DB00052","GHR"
"DB00082","GHR"
"DB00163","SEC14L4"
"DB01632","HPRT1"
"DB04356","HPRT1"
"DB02212","HPRT1"
"DB02309","HPRT1"
"DB03153","HPRT1"
"DB01033","HPRT1"
"DB00993","HPRT1"
"DB00799","RXRB"
"DB00307","RXRB"
"DB00523","RXRB"
"DB00755","RXRB"
"DB00210","RXRB"
"DB07080","RXRB"
"DB07929","RXRB"
"DB00926","RXRB"
"DB00459","RXRB"
"DB08175","RXRB"
"DB01941","RXRB"
"DB00114","CSAD"
"DB00151","CSAD"
"DB00157","NDUFA10"
"DB00148","CKB"
"DB00087","CD52"
"DB04873","HTR4"
"DB06684","HTR4"
"DB01079","HTR4"
"DB00604","HTR4"
"DB01233","HTR4"
"DB00904","HTR4"
"DB08810","HTR4"
"DB00893","FTL"
"DB02285","FTL"
"DB01880","HAL"
"DB00117","HAL"
"DB06946","HAL"
"DB04066","HAL"
"DB00126","PLOD1"
"DB00139","PLOD1"
"DB02726","PKM"
"DB00119","PKM"
"DB07697","PKM"
"DB07628","PKM"
"DB01733","PKM"
"DB07692","PKM"
"DB00157","NDUFS5"
"DB00933","KCNH2"
"DB08954","KCNH2"
"DB01184","KCNH2"
"DB00613","KCNH2"
"DB00675","KCNH2"
"DB01388","KCNH2"
"DB00246","KCNH2"
"DB08674","KCNH2"
"DB08361","KCNH2"
"DB01162","KCNH2"
"DB00734","KCNH2"
"DB01268","KCNH2"
"DB01218","KCNH2"
"DB00835","KCNH2"
"DB00458","KCNH2"
"DB00904","KCNH2"
"DB03777","KCNH2"
"DB04855","KCNH2"
"DB01113","KCNH2"
"DB00289","KCNH2"
"DB01186","KCNH2"
"DB00472","KCNH2"
"DB00257","KCNH2"
"DB02873","KCNH2"
"DB01136","KCNH2"
"DB00379","KCNH2"
"DB01114","KCNH2"
"DB04957","KCNH2"
"DB00608","KCNH2"
"DB00334","KCNH2"
"DB06155","KCNH2"
"DB08244","KCNH2"
"DB00358","KCNH2"
"DB00342","KCNH2"
"DB04707","KCNH2"
"DB01182","KCNH2"
"DB01118","KCNH2"
"DB06994","KCNH2"
"DB06144","KCNH2"
"DB00457","KCNH2"
"DB00969","KCNH2"
"DB01173","KCNH2"
"DB00908","KCNH2"
"DB04842","KCNH2"
"DB01151","KCNH2"
"DB00308","KCNH2"
"DB01075","KCNH2"
"DB00276","KCNH2"
"DB00215","KCNH2"
"DB01238","KCNH2"
"DB01224","KCNH2"
"DB06691","KCNH2"
"DB00714","KCNH2"
"DB00813","KCNH2"
"DB00921","KCNH2"
"DB00450","KCNH2"
"DB00637","KCNH2"
"DB00455","KCNH2"
"DB00204","KCNH2"
"DB07405","KCNH2"
"DB00889","KCNH2"
"DB00477","KCNH2"
"DB01100","KCNH2"
"DB01244","KCNH2"
"DB00907","KCNH2"
"DB00363","KCNH2"
"DB01433","KCNH2"
"DB01110","KCNH2"
"DB06731","KCNH2"
"DB00679","KCNH2"
"DB00843","KCNH2"
"DB01267","KCNH2"
"DB01036","KCNH2"
"DB00201","KCNH2"
"DB01074","KCNH2"
"DB00333","KCNH2"
"DB00647","KCNH2"
"DB00502","KCNH2"
"DB00604","KCNH2"
